|model   |w_bit  |f bit  |f Qscheme         |groupsize|top1 acc|top5 acc|remark           |
|resnet50|4      |8      |per-group-affine     |16       |75.144(+0.028)  |92.384(-0.138)  |4.36                      |
|resnet50|4      |8      |per-group-affine     |8        |75.376(+0.044)  |92.518(-0.190)  |4.64                      |
|resnet50|4      |8      |per-group-affine     |4        |75.174(-0.626)  |92.464(-0.276)  |5.21                      |
|resnet50|4      |8      |per-group-affine     |1        |75.082(-0.892)  |92.436(-0.406)  |8.64           |



####

|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet18|float32|float32| /                   |/        |69.760          |89.082          |32                    |
|resnet18|4      |8      |per-channel-affine   |/        |60.712          |83.484          |4.02                  |
|resnet18|4      |8      |per-group-affine     |32       |66.246(-0.012)  |86.822(-0.006)  |4.06(-0.08)           |
|resnet18|4      |8      |per-group-affine     |16       |68.162(+0.038)  |88.222(+0.098)  |4.09(-0.19)           |
|resnet18|4      |8      |per-group-affine     |8        |67.720(-0.896)  |87.930(-0.498)  |4.15(-0.41)           |
|resnet18|4      |8      |per-group-affine     |4        |68.388(-0.408)  |88.304(-0.320)  |4.28(-0.84)           |
|resnet18|4      |8      |per-group-affine     |1        |68.814(-0.408)  |88.404(-0.358)  |5.03(-3.46)           |



|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet50|float32|float32| /                   |/        |76.146          |92.872          |32                    |
|resnet50|4      |8      |per-channel-affine   |/        |72.264          |90.944          |4.04                  |
|resnet50|4      |8      |per-group-affine     |32       |75.296(-0.198)  |92.442(-0.090)  |4.21(-0.43)           |
|resnet50|4      |8      |per-group-affine     |16       |75.144(-0.436)  |92.384(-0.256)  |4.36(-0.92)           |
|resnet50|4      |8      |per-group-affine     |8        |75.376(-0.380)  |92.518(-0.242)  |4.64(-1.93)           |
|resnet50|4      |8      |per-group-affine     |4        |75.174(-0.674)  |92.464(-0.342)  |5.21(-3.93)           |
|resnet50|4      |8      |per-group-affine     |1        |75.082(-0.892)  |92.436(-0.406)  |8.64(-15.9)           |

